,Date_Time,Temperature,Action1,Humidity,Ammonia_Gas_Level,Action2,Light,Action3,Water_Level,Action4,Cleaning
329,02/04/2019 08:44 AM,32,FanOff,54,62,ExhFanOFF,123,LightOFF,60,PumpOff,ProcessOFF
330,02/04/2019 08:44 AM,32,FanOff,54,62,ExhFanOFF,90,LightOFF,60,PumpOff,ProcessOFF
331,02/04/2019 08:43 AM,32,FanOff,54,62,ExhFanOFF,47,LightOFF,60,PumpOff,ProcessOFF
332,02/04/2019 08:43 AM,32,FanOff,54,62,ExhFanOFF,43,LightOFF,60,PumpOff,ProcessOFF
333,02/04/2019 08:42 AM,32,FanOff,54,62,ExhFanOFF,57,LightOFF,60,PumpOff,ProcessOFF
334,02/04/2019 08:41 AM,31,FanOff,54,63,ExhFanOFF,223,LightOFF,60,PumpOff,ProcessOFF
335,02/04/2019 08:41 AM,32,FanOff,54,62,ExhFanOFF,44,LightOFF,60,PumpOff,ProcessOFF
336,02/04/2019 08:40 AM,32,FanOff,54,62,ExhFanOFF,50,LightOFF,60,PumpOff,ProcessOFF
337,02/04/2019 08:40 AM,32,FanOff,54,62,ExhFanOFF,45,LightOFF,60,PumpOff,ProcessOFF
338,02/04/2019 08:39 AM,32,FanOff,54,63,ExhFanOFF,41,LightOFF,60,PumpOff,ProcessOFF
339,02/04/2019 08:38 AM,32,FanOff,54,63,ExhFanOFF,299,LightOFF,60,PumpOff,ProcessOFF
340,02/04/2019 08:38 AM,32,FanOff,54,63,ExhFanOFF,49,LightOFF,60,PumpOff,ProcessOFF
